77,70,71,70,71,70,66
71,71,71,70,71,70,67
71,71,71,71,71,70,67
71,71,71,71,72,70,68
72,72,72,71,72,71,68
73,73,73,73,73,73,69
75,76,76,76,76,76,72
78,79,80,79,79,80,77
60,60,67,61,61,76,81
47,46,53,46,46,69,81
45,44,49,45,46,65,76
50,51,54,52,52,63,72
68,69,71,70,70,76,80
79,80,81,79,80,87,87
74,75,77,74,75,83,84
65,66,68,65,65,72,75
60,62,62,59,60,66,69
60,62,60,59,61,63,66
69,69,67,68,68,69,67
81,81,81,81,80,77,78
89,90,90,90,89,84,88
92,92,93,92,92,85,93
94,94,94,94,93,86,94
91,91,91,91,90,83,91
