Created on March	04/03/2014 09:50
Date;T1.T;T3.T;T5.T
01/01/2014 01:53800;287.907;288.525;293.22
01/01/2014 01:54840;287.886;288.525;293.219
01/01/2014 01:55900;287.854;288.525;293.218
01/01/2014 01:56960;287.823;288.524;293.217
01/01/2014 01:56000;287.802;288.524;293.216
01/01/2014 01:58080;287.76;288.524;293.215
01/01/2014 01:58100;287.75;288.523;293.215
01/01/2014 02:00200;287.698;288.523;293.213
01/01/2014 02:01300;287.647;288.522;293.211
01/01/2014 02:02320;287.637;288.522;293.211
01/01/2014 02:03400;287.597;288.522;293.209
01/01/2014 02:04440;287.577;288.522;293.209
01/01/2014 02:05500;287.547;288.521;293.207
01/01/2014 02:06560;287.517;288.521;293.206
01/01/2014 02:06600;287.497;288.521;293.206
01/01/2014 02:08680;287.457;288.521;293.204
01/01/2014 02:08700;287.447;288.521;293.204
01/01/2014 02:10800;287.398;288.52;293.202
01/01/2014 02:11900;287.349;288.52;293.2
01/01/2014 02:12920;287.34;288.52;293.2
01/01/2014 02:13000;287.301;288.519;293.198
01/01/2014 02:14040;287.282;288.519;293.198
01/01/2014 02:15100;287.253;288.519;293.196
01/01/2014 02:16160;287.224;288.519;293.195
01/01/2014 02:16200;287.205;288.519;293.195
01/01/2014 02:18280;287.167;288.518;293.193
01/01/2014 02:18300;287.158;288.518;293.193
01/01/2014 02:20400;287.111;288.518;293.191
01/01/2014 02:21500;287.064;288.518;293.189
01/01/2014 02:22520;287.055;288.517;293.188
01/01/2014 02:23600;287.017;288.517;293.187
01/01/2014 02:24640;286.999;288.517;293.186
01/01/2014 02:25700;286.971;288.517;293.185
01/01/2014 02:26760;286.944;288.517;293.184
01/01/2014 02:26800;286.925;288.517;293.183
01/01/2014 02:28880;286.889;288.516;293.181
01/01/2014 02:28900;286.88;288.516;293.181
01/01/2014 02:30000;286.834;288.516;293.179
01/01/2014 02:31100;286.789;288.516;293.177
01/01/2014 02:32120;286.78;288.516;293.177
01/01/2014 02:33200;286.745;288.516;293.175
01/01/2014 02:34240;286.727;288.516;293.174
01/01/2014 02:35300;286.7;288.516;293.173
01/01/2014 02:36360;286.674;288.515;293.172
01/01/2014 02:36400;286.656;288.515;293.171
01/01/2014 02:38480;286.621;288.515;293.17
01/01/2014 02:38500;286.612;288.515;293.169
01/01/2014 02:40600;286.569;288.515;293.167
01/01/2014 02:41700;286.525;288.515;293.165
01/01/2014 02:42720;286.517;288.515;293.165
01/01/2014 02:43800;286.482;288.515;293.163
01/01/2014 02:44840;286.465;288.515;293.162
01/01/2014 02:45900;286.44;288.515;293.161
01/01/2014 02:46960;286.414;288.515;293.16
01/01/2014 02:460000;286.397;288.515;293.159
01/01/2014 02:480080;286.363;288.514;293.157
01/01/2014 02:480100;286.355;288.514;293.157
01/01/2014 02:500200;286.313;288.514;293.155
01/01/2014 02:510300;286.272;288.514;293.153
01/01/2014 02:520320;286.263;288.514;293.153
01/01/2014 02:530400;286.23;288.514;293.151
01/01/2014 02:540440;286.214;288.514;293.15
