Created on March	04/03/2014 09:50
Date;T1.T;T3.T;T5.T
01/01/2014 17:051500;290.659;290.301;294.216
01/01/2014 17:061560;290.607;290.301;294.215
01/01/2014 17:061600;290.572;290.3;294.215
01/01/2014 17:081680;290.503;290.299;294.213
01/01/2014 17:081700;290.486;290.299;294.213
01/01/2014 17:101800;290.401;290.298;294.212
01/01/2014 17:111900;290.317;290.297;294.21
01/01/2014 17:121920;290.3;290.297;294.21
01/01/2014 17:132000;290.233;290.296;294.209
01/01/2014 17:142040;290.2;290.296;294.208
01/01/2014 17:152100;290.15;290.296;294.207
01/01/2014 17:152125.9;290.13;290.295;294.207
01/01/2014 17:162160;290.103;290.295;294.206
01/01/2014 17:162200;290.072;290.295;294.205
01/01/2014 17:182280;290.01;290.294;294.204
01/01/2014 17:182300;289.995;290.294;294.204
01/01/2014 17:202400;289.921;290.293;294.202
01/01/2014 17:212500;289.846;290.292;294.2
01/01/2014 17:222520;289.831;290.292;294.2
01/01/2014 17:232600;289.772;290.291;294.199
01/01/2014 17:242640;289.743;290.291;294.198
01/01/2014 17:252700;289.699;290.291;294.197
01/01/2014 17:262760;289.654;290.29;294.196
01/01/2014 17:262800;289.625;290.29;294.195
01/01/2014 17:282880;289.567;290.289;294.194
01/01/2014 17:282900;289.552;290.289;294.194
01/01/2014 17:303000;289.479;290.289;294.192
01/01/2014 17:313100;289.406;290.288;294.19
01/01/2014 17:323120;289.392;290.288;294.19
01/01/2014 17:333200;289.334;290.287;294.188
01/01/2014 17:343240;289.305;290.287;294.188
01/01/2014 17:353300;289.262;290.287;294.186
01/01/2014 17:363360;289.218;290.286;294.185
01/01/2014 17:363400;289.19;290.286;294.185
01/01/2014 17:383480;289.132;290.285;294.183
01/01/2014 17:383500;289.118;290.285;294.183
01/01/2014 17:403600;289.046;290.285;294.181
01/01/2014 17:413700;288.974;290.284;294.179
01/01/2014 17:423720;288.96;290.284;294.179
01/01/2014 17:433800;288.902;290.284;294.177
01/01/2014 17:443840;288.874;290.284;294.176
01/01/2014 17:453900;288.831;290.283;294.175
01/01/2014 17:463960;288.788;290.283;294.174
01/01/2014 17:464000;288.76;290.283;294.173
01/01/2014 17:484080;288.703;290.282;294.172
01/01/2014 17:484100;288.688;290.282;294.171
01/01/2014 17:504200;288.617;290.282;294.169
01/01/2014 17:514300;288.546;290.281;294.167
01/01/2014 17:524320;288.532;290.281;294.167
01/01/2014 17:534400;288.476;290.281;294.165
01/01/2014 17:544440;288.447;290.281;294.165
01/01/2014 17:554500;288.405;290.28;294.164
01/01/2014 17:564560;288.363;290.28;294.162
01/01/2014 17:564600;288.334;290.28;294.162
01/01/2014 17:584680;288.278;290.28;294.16
01/01/2014 17:584700;288.264;290.28;294.16
01/01/2014 18:004800;288.194;290.279;294.158
01/01/2014 18:014900;288.124;290.279;294.156
01/01/2014 18:024920;288.11;290.279;294.155
01/01/2014 18:035000;288.054;290.279;294.154
01/01/2014 18:045040;288.026;290.279;294.153
01/01/2014 18:055100;287.984;290.278;294.152
01/01/2014 18:065160;287.943;290.278;294.15
01/01/2014 18:065200;287.915;290.278;294.15
01/01/2014 18:085280;287.859;290.278;294.148
01/01/2014 18:085300;287.845;290.278;294.148
01/01/2014 18:105400;287.776;290.278;294.146
01/01/2014 18:115500;287.707;290.277;294.143
01/01/2014 18:125520;287.693;290.277;294.143
01/01/2014 18:135600;287.638;290.277;294.141
01/01/2014 18:145640;287.61;290.277;294.141
01/01/2014 18:155700;287.569;290.277;294.139
01/01/2014 18:165760;287.527;290.277;294.138
01/01/2014 18:165800;287.5;290.277;294.137
01/01/2014 18:185880;287.445;290.277;294.136
01/01/2014 18:185900;287.431;290.276;294.135
01/01/2014 18:206000;287.362;290.276;294.133
01/01/2014 18:216100;287.293;290.276;294.131
01/01/2014 18:226120;287.279;290.276;294.131
01/01/2014 18:236200;287.224;290.276;294.129
01/01/2014 18:246240;287.197;290.276;294.128
01/01/2014 18:256300;287.155;290.276;294.127
01/01/2014 18:266360;287.114;290.276;294.126
01/01/2014 18:266400;287.087;290.276;294.125
01/01/2014 18:286480;287.032;290.276;294.123
01/01/2014 18:286500;287.018;290.276;294.123
01/01/2014 18:306600;286.949;290.275;294.121
01/01/2014 18:316700;286.881;290.275;294.119
01/01/2014 18:326720;286.867;290.275;294.118
01/01/2014 18:336800;286.812;290.275;294.117
01/01/2014 18:346840;286.785;290.275;294.116
01/01/2014 18:356900;286.744;290.275;294.115
01/01/2014 18:366960;286.702;290.275;294.113
01/01/2014 18:367000;286.675;290.275;294.112
01/01/2014 18:387080;286.62;290.275;294.111
01/01/2014 18:387100;286.607;290.275;294.11
01/01/2014 18:407200;286.539;290.275;294.108
01/01/2014 18:417300;286.47;290.275;294.106
01/01/2014 18:427320;286.457;290.275;294.106
01/01/2014 18:437400;286.402;290.275;294.104
01/01/2014 18:447440;286.375;290.275;294.103
01/01/2014 18:457500;286.334;290.275;294.102
01/01/2014 18:467560;286.294;290.275;294.101
01/01/2014 18:467600;286.267;290.275;294.1
01/01/2014 18:487680;286.213;290.275;294.098
01/01/2014 18:487700;286.199;290.275;294.098
01/01/2014 18:507800;286.132;290.275;294.096
01/01/2014 18:517900;286.065;290.275;294.093
01/01/2014 18:527920;286.051;290.275;294.093
01/01/2014 18:538000;285.998;290.275;294.091
01/01/2014 18:548040;285.971;290.275;294.091
01/01/2014 18:558100;285.931;290.275;294.089
01/01/2014 18:568160;285.891;290.275;294.088
01/01/2014 18:568200;285.865;290.275;294.087
01/01/2014 18:588280;285.812;290.275;294.085
01/01/2014 18:588300;285.799;290.275;294.085
01/01/2014 18:598364;285.757;290.275;294.084
01/01/2014 18:598364.1;285.757;290.275;294.084
01/01/2014 18:598364.4;285.756;290.275;294.084
01/01/2014 18:598364.6;285.756;290.275;294.084
01/01/2014 18:598364.8;285.756;290.275;294.084
01/01/2014 18:598365.1;285.756;290.275;294.084
01/01/2014 18:598365.3;285.756;290.275;294.084
01/01/2014 18:598365.6;285.756;290.275;294.084
01/01/2014 18:598365.8;285.756;290.275;294.084
01/01/2014 18:598366;285.755;290.275;294.084
01/01/2014 18:598366.3;285.755;290.275;294.084
01/01/2014 18:598366.5;285.755;290.275;294.084
01/01/2014 18:598366.8;285.755;290.275;294.084
01/01/2014 18:598367;285.755;290.275;294.084
01/01/2014 18:598367.2;285.755;290.275;294.084
01/01/2014 18:598367.5;285.754;290.275;294.084
01/01/2014 18:598367.7;285.754;290.275;294.084
01/01/2014 18:598368;285.754;290.275;294.084
01/01/2014 18:598368.2;285.754;290.275;294.084
01/01/2014 18:598368.4;285.754;290.275;294.084
01/01/2014 18:598368.7;285.754;290.275;294.084
01/01/2014 18:598368.9;285.753;290.275;294.084
01/01/2014 18:598369.2;285.753;290.275;294.084
01/01/2014 18:598369.4;285.753;290.275;294.084
01/01/2014 18:598369.6;285.753;290.275;294.084
01/01/2014 18:598369.9;285.753;290.275;294.084
01/01/2014 18:598370.1;285.753;290.275;294.083
01/01/2014 18:598370.4;285.753;290.275;294.083
01/01/2014 18:598370.6;285.752;290.275;294.083
01/01/2014 18:598370.8;285.752;290.275;294.083
01/01/2014 18:598371.1;285.752;290.275;294.083
01/01/2014 18:598371.3;285.752;290.275;294.083
01/01/2014 18:598371.6;285.752;290.275;294.083
01/01/2014 18:598371.8;285.752;290.275;294.083
01/01/2014 18:598372;285.751;290.275;294.083
01/01/2014 18:598372.3;285.751;290.275;294.083
01/01/2014 18:598372.5;285.751;290.275;294.083
01/01/2014 18:598372.8;285.751;290.275;294.083
01/01/2014 18:598373;285.751;290.275;294.083
01/01/2014 18:598373.2;285.751;290.275;294.083
01/01/2014 18:598373.5;285.75;290.275;294.083
01/01/2014 18:598373.7;285.75;290.275;294.083
01/01/2014 18:598374;285.75;290.275;294.083
01/01/2014 18:598374.2;285.75;290.275;294.083
01/01/2014 18:598374.4;285.75;290.275;294.083
01/01/2014 18:598374.7;285.75;290.275;294.083
01/01/2014 18:598374.9;285.75;290.275;294.083
01/01/2014 18:598375.2;285.749;290.275;294.083
01/01/2014 18:598375.4;285.749;290.275;294.083
01/01/2014 18:598375.6;285.749;290.275;294.083
01/01/2014 18:598375.9;285.749;290.275;294.083
01/01/2014 18:598376.1;285.749;290.275;294.083
01/01/2014 18:598376.4;285.749;290.275;294.083
01/01/2014 18:598376.6;285.748;290.275;294.083
01/01/2014 18:598376.8;285.748;290.275;294.083
01/01/2014 18:598377.1;285.748;290.275;294.083
01/01/2014 18:598377.3;285.748;290.275;294.083
01/01/2014 18:598377.6;285.748;290.275;294.083
01/01/2014 18:598377.8;285.748;290.275;294.083
01/01/2014 18:598378;285.747;290.275;294.083
01/01/2014 18:598378.3;285.747;290.275;294.083
01/01/2014 18:598378.5;285.747;290.275;294.083
01/01/2014 18:598378.8;285.747;290.275;294.083
01/01/2014 18:598379;285.747;290.275;294.083
01/01/2014 18:598379.2;285.747;290.275;294.083
01/01/2014 18:598379.5;285.747;290.275;294.083
01/01/2014 18:598379.7;285.746;290.275;294.083
01/01/2014 18:598380;285.746;290.275;294.083
01/01/2014 18:598380.2;285.746;290.275;294.083
01/01/2014 18:598380.4;285.746;290.275;294.083
01/01/2014 18:598380.7;285.746;290.275;294.083
01/01/2014 18:598380.9;285.746;290.275;294.083
01/01/2014 18:598381.2;285.745;290.275;294.083
01/01/2014 18:598381.4;285.745;290.275;294.083
01/01/2014 18:598381.6;285.745;290.275;294.083
01/01/2014 18:598381.9;285.745;290.275;294.083
01/01/2014 18:598382.1;285.745;290.275;294.083
01/01/2014 18:598382.4;285.745;290.275;294.083
01/01/2014 18:598382.6;285.745;290.275;294.083
01/01/2014 18:598382.8;285.744;290.275;294.083
01/01/2014 18:598383.1;285.744;290.275;294.083
01/01/2014 18:598383.3;285.744;290.275;294.083
01/01/2014 18:598383.6;285.744;290.275;294.083
01/01/2014 18:598383.8;285.744;290.275;294.083
01/01/2014 18:598384;285.744;290.275;294.083
01/01/2014 18:598384.3;285.743;290.275;294.083
01/01/2014 18:598384.5;285.743;290.275;294.083
01/01/2014 18:598384.8;285.743;290.275;294.083
01/01/2014 18:598385;285.743;290.275;294.083
01/01/2014 18:598385.2;285.743;290.275;294.083
01/01/2014 18:598385.5;285.743;290.275;294.083
01/01/2014 18:598385.7;285.742;290.275;294.083
01/01/2014 18:598386;285.742;290.275;294.083
01/01/2014 18:598386.2;285.742;290.275;294.083
01/01/2014 18:598386.4;285.742;290.275;294.083
01/01/2014 18:598386.7;285.742;290.275;294.083
01/01/2014 18:598386.9;285.742;290.275;294.083
01/01/2014 18:598387.2;285.742;290.275;294.083
01/01/2014 18:598387.4;285.741;290.275;294.083
01/01/2014 18:598387.6;285.741;290.275;294.083
01/01/2014 18:598387.9;285.741;290.275;294.083
01/01/2014 18:598388.1;285.741;290.275;294.083
01/01/2014 18:598388.4;285.741;290.275;294.083
01/01/2014 18:598388.6;285.741;290.275;294.083
01/01/2014 18:598388.8;285.74;290.275;294.083
01/01/2014 18:598389.1;285.74;290.275;294.083
01/01/2014 18:598389.3;285.74;290.275;294.083
01/01/2014 18:598389.6;285.74;290.275;294.083
01/01/2014 18:598389.8;285.74;290.275;294.083
01/01/2014 18:598390;285.74;290.275;294.083
01/01/2014 18:598390.3;285.739;290.275;294.083
01/01/2014 18:598390.5;285.739;290.275;294.083
01/01/2014 18:598390.8;285.739;290.275;294.083
01/01/2014 18:598391;285.739;290.275;294.083
01/01/2014 18:598391.2;285.739;290.275;294.083
01/01/2014 18:598391.5;285.739;290.275;294.083
01/01/2014 18:598391.7;285.739;290.275;294.083
01/01/2014 18:598392;285.738;290.275;294.083
01/01/2014 18:598392.2;285.738;290.275;294.083
01/01/2014 18:598392.4;285.738;290.275;294.083
01/01/2014 18:598392.7;285.738;290.275;294.083
01/01/2014 18:598392.9;285.738;290.275;294.083
01/01/2014 18:598393.2;285.738;290.275;294.083
01/01/2014 18:598393.4;285.737;290.275;294.083
01/01/2014 18:598393.6;285.737;290.275;294.083
01/01/2014 18:598393.9;285.737;290.275;294.083
01/01/2014 18:598394.1;285.737;290.275;294.083
01/01/2014 18:598394.4;285.737;290.275;294.083
01/01/2014 18:598394.6;285.737;290.275;294.083
01/01/2014 18:598394.8;285.736;290.275;294.083
01/01/2014 18:598395.1;285.736;290.275;294.083
01/01/2014 18:598395.3;285.736;290.275;294.083
01/01/2014 18:598395.6;285.736;290.275;294.083
01/01/2014 18:598395.8;285.736;290.275;294.083
01/01/2014 18:598396;285.736;290.275;294.083
01/01/2014 18:598396.3;285.736;290.275;294.083
01/01/2014 18:598396.5;285.735;290.275;294.083
01/01/2014 18:598396.8;285.735;290.275;294.083
01/01/2014 18:598397;285.735;290.275;294.083
01/01/2014 18:598397.2;285.735;290.275;294.083
01/01/2014 18:598397.5;285.735;290.275;294.083
01/01/2014 18:598397.7;285.735;290.275;294.083
01/01/2014 18:598398;285.734;290.275;294.083
01/01/2014 18:598398.2;285.734;290.275;294.083
01/01/2014 18:598398.4;285.734;290.275;294.083
01/01/2014 18:598398.7;285.734;290.275;294.083
01/01/2014 18:598398.9;285.734;290.275;294.083
01/01/2014 18:598399.2;285.734;290.275;294.083
01/01/2014 18:598399.4;285.733;290.275;294.083
01/01/2014 18:598399.6;285.733;290.275;294.083
01/01/2014 18:598399.9;285.733;290.275;294.083
01/01/2014 19:008400;285.733;290.275;294.083
01/01/2014 19:018500;285.668;290.275;294.081
01/01/2014 19:028520;285.655;290.274;294.08
01/01/2014 19:038600;285.603;290.274;294.079
01/01/2014 19:048640;285.577;290.273;294.078
01/01/2014 19:058700;285.538;290.272;294.077
01/01/2014 19:068760;285.5;290.27;294.075
01/01/2014 19:068800;285.474;290.269;294.074
01/01/2014 19:088880;285.423;290.264;294.073
01/01/2014 19:088900;285.41;290.262;294.072
01/01/2014 19:109000;285.347;290.252;294.07
01/01/2014 19:119100;285.284;290.238;294.068
01/01/2014 19:129120;285.271;290.235;294.068
01/01/2014 19:139200;285.221;290.219;294.066
01/01/2014 19:149240;285.196;290.21;294.065
01/01/2014 19:159300;285.158;290.196;294.064
01/01/2014 19:169360;285.121;290.179;294.062
01/01/2014 19:169400;285.096;290.167;294.062
01/01/2014 19:189480;285.047;290.14;294.06
01/01/2014 19:189500;285.035;290.133;294.059
01/01/2014 19:209600;284.973;290.094;294.057
01/01/2014 19:219700;284.912;290.05;294.055
01/01/2014 19:229720;284.9;290.041;294.055
01/01/2014 19:239800;284.851;290.001;294.053
01/01/2014 19:249840;284.827;289.98;294.052
01/01/2014 19:259900;284.791;289.947;294.051
01/01/2014 19:269960;284.755;289.913;294.05
01/01/2014 19:260000;284.731;289.889;294.049
01/01/2014 19:280080;284.683;289.838;294.047
01/01/2014 19:280100;284.671;289.825;294.047
01/01/2014 19:300200;284.611;289.757;294.044
01/01/2014 19:310300;284.552;289.685;294.042
01/01/2014 19:320320;284.54;289.67;294.042
01/01/2014 19:330400;284.493;289.609;294.04
01/01/2014 19:340440;284.47;289.578;294.039
01/01/2014 19:350500;284.435;289.529;294.038
01/01/2014 19:360560;284.4;289.48;294.037
01/01/2014 19:360600;284.377;289.446;294.036
01/01/2014 19:380680;284.33;289.377;294.034
01/01/2014 19:380700;284.319;289.359;294.034
01/01/2014 19:400800;284.261;289.27;294.032
01/01/2014 19:410900;284.204;289.177;294.03
01/01/2014 19:420920;284.192;289.159;294.029
01/01/2014 19:431000;284.147;289.082;294.027
01/01/2014 19:441040;284.124;289.044;294.027
01/01/2014 19:451100;284.09;288.985;294.025
01/01/2014 19:461160;284.056;288.926;294.024
01/01/2014 19:461200;284.034;288.886;294.023
01/01/2014 19:481280;283.989;288.806;294.021
01/01/2014 19:481300;283.977;288.786;294.021
01/01/2014 19:501400;283.921;288.683;294.019
01/01/2014 19:511500;283.866;288.58;294.017
01/01/2014 19:521520;283.855;288.559;294.016
01/01/2014 19:531600;283.81;288.475;294.015
01/01/2014 19:541640;283.788;288.433;294.014
01/01/2014 19:551700;283.755;288.369;294.012
01/01/2014 19:561760;283.722;288.306;294.011
01/01/2014 19:561800;283.701;288.263;294.01
01/01/2014 19:581880;283.657;288.178;294.009
01/01/2014 19:581900;283.646;288.157;294.008
01/01/2014 20:002000;283.592;288.05;294.006
01/01/2014 20:012087.2;283.545;287.957;294.004
01/01/2014 20:012100;283.538;287.951;294.004
01/01/2014 20:022120;283.527;287.951;294.003
01/01/2014 20:032200;283.484;287.949;294.002
01/01/2014 20:042240;283.463;287.948;294.001
01/01/2014 20:052300;283.43;287.947;294
01/01/2014 20:062360;283.398;287.945;293.998
01/01/2014 20:062400;283.377;287.945;293.997
01/01/2014 20:082480;283.335;287.943;293.996
01/01/2014 20:082500;283.324;287.942;293.995
01/01/2014 20:102600;283.272;287.94;293.993
01/01/2014 20:112700;283.219;287.938;293.991
01/01/2014 20:122720;283.209;287.937;293.99
01/01/2014 20:132800;283.167;287.935;293.989
01/01/2014 20:142840;283.146;287.934;293.988
01/01/2014 20:152900;283.115;287.933;293.987
01/01/2014 20:162960;283.084;287.931;293.985
01/01/2014 20:163000;283.063;287.93;293.984
01/01/2014 20:183080;283.022;287.928;293.983
01/01/2014 20:183100;283.011;287.928;293.982
01/01/2014 20:203200;282.96;287.925;293.98
01/01/2014 20:213300;282.909;287.922;293.978
01/01/2014 20:223320;282.899;287.922;293.978
01/01/2014 20:233400;282.858;287.92;293.976
01/01/2014 20:243440;282.838;287.919;293.975
01/01/2014 20:253500;282.808;287.917;293.974
01/01/2014 20:263560;282.777;287.916;293.972
01/01/2014 20:263600;282.757;287.915;293.972
01/01/2014 20:283680;282.717;287.912;293.97
01/01/2014 20:283700;282.707;287.912;293.969
01/01/2014 20:303800;282.657;287.909;293.967
01/01/2014 20:313900;282.608;287.906;293.965
01/01/2014 20:323920;282.598;287.906;293.965
01/01/2014 20:334000;282.558;287.904;293.963
01/01/2014 20:344040;282.538;287.903;293.962
01/01/2014 20:354100;282.509;287.901;293.961
01/01/2014 20:364160;282.479;287.899;293.96
01/01/2014 20:364200;282.46;287.898;293.959
01/01/2014 20:384280;282.421;287.896;293.957
01/01/2014 20:384300;282.411;287.896;293.957
01/01/2014 20:404400;282.362;287.893;293.954
01/01/2014 20:414500;282.314;287.89;293.952
01/01/2014 20:424520;282.304;287.89;293.952
01/01/2014 20:434600;282.266;287.887;293.95
01/01/2014 20:444640;282.246;287.886;293.949
01/01/2014 20:454700;282.218;287.885;293.948
01/01/2014 20:464760;282.189;287.883;293.947
01/01/2014 20:464800;282.17;287.882;293.946
01/01/2014 20:484880;282.132;287.88;293.944
01/01/2014 20:484900;282.122;287.879;293.944
01/01/2014 20:505000;282.075;287.877;293.942
01/01/2014 20:515100;282.027;287.874;293.939
01/01/2014 20:525120;282.018;287.873;293.939
01/01/2014 20:535200;281.98;287.871;293.937
01/01/2014 20:545240;281.962;287.87;293.936
01/01/2014 20:555300;281.934;287.869;293.935
01/01/2014 20:565360;281.905;287.867;293.934
01/01/2014 20:565400;281.887;287.866;293.933
01/01/2014 20:585480;281.85;287.864;293.931
01/01/2014 20:585500;281.84;287.863;293.931
01/01/2014 21:005600;281.794;287.861;293.929
01/01/2014 21:005600.1;281.794;287.861;293.929
01/01/2014 21:005600.4;281.794;287.861;293.929
01/01/2014 21:005600.6;281.794;287.861;293.929
01/01/2014 21:005600.8;281.794;287.861;293.929
01/01/2014 21:005601.1;281.794;287.861;293.929
01/01/2014 21:005601.3;281.793;287.861;293.929
01/01/2014 21:005601.6;281.793;287.861;293.929
01/01/2014 21:005601.8;281.793;287.86;293.929
01/01/2014 21:005602;281.793;287.86;293.929
01/01/2014 21:005602.3;281.793;287.86;293.929
01/01/2014 21:005602.5;281.793;287.86;293.929
01/01/2014 21:005602.8;281.793;287.86;293.929
01/01/2014 21:005603;281.793;287.86;293.929
01/01/2014 21:005603.2;281.793;287.86;293.929
01/01/2014 21:005603.5;281.792;287.86;293.929
01/01/2014 21:005603.7;281.792;287.86;293.929
01/01/2014 21:005604;281.792;287.86;293.929
01/01/2014 21:005604.2;281.792;287.86;293.929
01/01/2014 21:005604.4;281.792;287.859;293.929
01/01/2014 21:005604.7;281.792;287.859;293.929
01/01/2014 21:005604.9;281.792;287.859;293.929
01/01/2014 21:005605.2;281.792;287.859;293.929
01/01/2014 21:005605.4;281.792;287.859;293.929
01/01/2014 21:005605.6;281.791;287.859;293.929
01/01/2014 21:005605.9;281.791;287.859;293.929
01/01/2014 21:005606.1;281.791;287.859;293.929
01/01/2014 21:005606.4;281.791;287.858;293.929
01/01/2014 21:005606.6;281.791;287.858;293.929
01/01/2014 21:005606.8;281.791;287.858;293.929
01/01/2014 21:005607.1;281.791;287.858;293.929
01/01/2014 21:005607.3;281.791;287.858;293.929
01/01/2014 21:005607.6;281.791;287.858;293.929
01/01/2014 21:005607.8;281.79;287.858;293.929
01/01/2014 21:005608;281.79;287.858;293.929
01/01/2014 21:005608.3;281.79;287.857;293.929
01/01/2014 21:005608.5;281.79;287.857;293.929
01/01/2014 21:005608.8;281.79;287.857;293.929
01/01/2014 21:005609;281.79;287.857;293.929
01/01/2014 21:005609.2;281.79;287.857;293.928
01/01/2014 21:005609.5;281.79;287.857;293.928
01/01/2014 21:005609.7;281.79;287.857;293.928
01/01/2014 21:005610;281.789;287.856;293.928
01/01/2014 21:005610.2;281.789;287.856;293.928
01/01/2014 21:005610.4;281.789;287.856;293.928
01/01/2014 21:005610.7;281.789;287.856;293.928
01/01/2014 21:005610.9;281.789;287.856;293.928
01/01/2014 21:005611.2;281.789;287.856;293.928
01/01/2014 21:005611.4;281.789;287.856;293.928
01/01/2014 21:005611.6;281.789;287.855;293.928
01/01/2014 21:005611.9;281.789;287.855;293.928
01/01/2014 21:005612.1;281.788;287.855;293.928
01/01/2014 21:005612.4;281.788;287.855;293.928
01/01/2014 21:005612.6;281.788;287.855;293.928
01/01/2014 21:005612.8;281.788;287.855;293.928
01/01/2014 21:005613.1;281.788;287.855;293.928
01/01/2014 21:005613.3;281.788;287.854;293.928
01/01/2014 21:005613.6;281.788;287.854;293.928
01/01/2014 21:005613.8;281.788;287.854;293.928
01/01/2014 21:005614;281.788;287.854;293.928
01/01/2014 21:005614.3;281.787;287.854;293.928
01/01/2014 21:005614.5;281.787;287.854;293.928
01/01/2014 21:005614.8;281.787;287.854;293.928
01/01/2014 21:005615;281.787;287.854;293.928
01/01/2014 21:005615.2;281.787;287.853;293.928
01/01/2014 21:005615.5;281.787;287.853;293.928
01/01/2014 21:005615.7;281.787;287.853;293.928
01/01/2014 21:005616;281.787;287.853;293.928
01/01/2014 21:005616.2;281.787;287.853;293.928
01/01/2014 21:005616.4;281.786;287.853;293.928
01/01/2014 21:005616.7;281.786;287.853;293.928
01/01/2014 21:005616.9;281.786;287.853;293.928
01/01/2014 21:005617.2;281.786;287.852;293.928
01/01/2014 21:005617.4;281.786;287.852;293.928
01/01/2014 21:005617.6;281.786;287.852;293.928
01/01/2014 21:005617.9;281.786;287.852;293.928
01/01/2014 21:005618.1;281.786;287.852;293.928
01/01/2014 21:005618.4;281.786;287.852;293.928
01/01/2014 21:005618.6;281.785;287.852;293.928
01/01/2014 21:005618.8;281.785;287.852;293.928
01/01/2014 21:005619.1;281.785;287.852;293.928
01/01/2014 21:005619.3;281.785;287.851;293.928
01/01/2014 21:005619.6;281.785;287.851;293.928
01/01/2014 21:005619.8;281.785;287.851;293.928
01/01/2014 21:005620;281.785;287.851;293.928
01/01/2014 21:005620.3;281.785;287.851;293.928
01/01/2014 21:005620.5;281.785;287.851;293.928
01/01/2014 21:005620.8;281.784;287.851;293.928
01/01/2014 21:005621;281.784;287.851;293.928
01/01/2014 21:005621.2;281.784;287.851;293.928
01/01/2014 21:005621.5;281.784;287.851;293.928
01/01/2014 21:005621.7;281.784;287.85;293.928
01/01/2014 21:005622;281.784;287.85;293.928
01/01/2014 21:005622.2;281.784;287.85;293.928
01/01/2014 21:005622.4;281.784;287.85;293.928
01/01/2014 21:005622.7;281.784;287.85;293.928
01/01/2014 21:005622.9;281.783;287.85;293.928
01/01/2014 21:005623.2;281.783;287.85;293.928
01/01/2014 21:005623.4;281.783;287.85;293.928
01/01/2014 21:005623.6;281.783;287.85;293.928
01/01/2014 21:005623.9;281.783;287.85;293.928
01/01/2014 21:005624.1;281.783;287.85;293.928
01/01/2014 21:005624.4;281.783;287.85;293.928
01/01/2014 21:005624.6;281.783;287.849;293.928
01/01/2014 21:005624.8;281.783;287.849;293.928
01/01/2014 21:005625.1;281.782;287.849;293.928
01/01/2014 21:005625.3;281.782;287.849;293.928
01/01/2014 21:005625.6;281.782;287.849;293.928
01/01/2014 21:005625.8;281.782;287.849;293.928
01/01/2014 21:005626;281.782;287.849;293.928
01/01/2014 21:005626.3;281.782;287.849;293.928
01/01/2014 21:005626.5;281.782;287.849;293.928
01/01/2014 21:005626.8;281.782;287.849;293.928
01/01/2014 21:005627;281.782;287.849;293.928
01/01/2014 21:005627.2;281.781;287.849;293.928
01/01/2014 21:005627.5;281.781;287.849;293.928
01/01/2014 21:005627.7;281.781;287.849;293.928
01/01/2014 21:005628;281.781;287.849;293.928
01/01/2014 21:005628.2;281.781;287.848;293.928
01/01/2014 21:005628.4;281.781;287.848;293.928
01/01/2014 21:005628.7;281.781;287.848;293.928
01/01/2014 21:005628.9;281.781;287.848;293.928
01/01/2014 21:005629.2;281.781;287.848;293.928
01/01/2014 21:005629.4;281.78;287.848;293.928
01/01/2014 21:005629.6;281.78;287.848;293.928
01/01/2014 21:005629.9;281.78;287.848;293.928
01/01/2014 21:005630.1;281.78;287.848;293.928
01/01/2014 21:005630.4;281.78;287.848;293.928
01/01/2014 21:005630.6;281.78;287.848;293.928
01/01/2014 21:005630.8;281.78;287.848;293.928
01/01/2014 21:005631.1;281.78;287.848;293.928
01/01/2014 21:005631.3;281.78;287.848;293.928
01/01/2014 21:005631.6;281.779;287.848;293.928
01/01/2014 21:005631.8;281.779;287.848;293.928
01/01/2014 21:005632;281.779;287.848;293.928
01/01/2014 21:005632.3;281.779;287.848;293.928
01/01/2014 21:005632.5;281.779;287.848;293.928
01/01/2014 21:005632.8;281.779;287.848;293.928
01/01/2014 21:005633;281.779;287.848;293.928
01/01/2014 21:005633.2;281.779;287.848;293.928
01/01/2014 21:005633.5;281.779;287.848;293.928
01/01/2014 21:005633.7;281.779;287.848;293.928
01/01/2014 21:005634;281.778;287.848;293.928
01/01/2014 21:005634.2;281.778;287.848;293.928
01/01/2014 21:005634.4;281.778;287.848;293.928
01/01/2014 21:005634.7;281.778;287.848;293.928
01/01/2014 21:005634.9;281.778;287.848;293.928
01/01/2014 21:005635.2;281.778;287.848;293.928
01/01/2014 21:005635.4;281.778;287.848;293.928
01/01/2014 21:005635.6;281.778;287.848;293.928
01/01/2014 21:005635.9;281.777;287.848;293.928
01/01/2014 21:005636;281.777;287.848;293.928
01/01/2014 21:015700;281.748;287.846;293.927
01/01/2014 21:025720;281.739;287.845;293.926
01/01/2014 21:035800;281.702;287.843;293.924
01/01/2014 21:045840;281.684;287.842;293.924
01/01/2014 21:055900;281.656;287.841;293.922
01/01/2014 21:065960;281.629;287.839;293.921
01/01/2014 21:066000;281.611;287.838;293.92
01/01/2014 21:086080;281.574;287.836;293.918
01/01/2014 21:086100;281.565;287.836;293.918
01/01/2014 21:106200;281.52;287.833;293.916
01/01/2014 21:116300;281.475;287.831;293.914
01/01/2014 21:126320;281.466;287.83;293.913
01/01/2014 21:136400;281.43;287.828;293.912
01/01/2014 21:146440;281.412;287.827;293.911
01/01/2014 21:156500;281.385;287.826;293.909
01/01/2014 21:166560;281.359;287.824;293.908
01/01/2014 21:166600;281.341;287.823;293.907
01/01/2014 21:186680;281.305;287.822;293.906
01/01/2014 21:186700;281.297;287.821;293.905
