Time,T1.T,T3.T,T5.T
7400,287.597,288.522,293.209
7440,287.577,288.522,293.209
7500,287.547,288.521,293.207
7500,287.547,288.521,293.207
7560,287.517,288.521,293.206
7600,287.497,288.521,293.206
7600,287.497,288.521,293.206
7680,287.457,288.521,293.204
7700,287.447,288.521,293.204
7700,287.447,288.521,293.204
7800,287.398,288.52,293.202
7800,287.398,288.52,293.202
7800,287.398,288.52,293.202
7900,287.349,288.52,293.2
7900,287.349,288.52,293.2
7920,287.34,288.52,293.2
8000,287.301,288.519,293.198
8000,287.301,288.519,293.198
8040,287.282,288.519,293.198
8100,287.253,288.519,293.196
8100,287.253,288.519,293.196
8160,287.224,288.519,293.195
8200,287.205,288.519,293.195
8200,287.205,288.519,293.195
8280,287.167,288.518,293.193
8300,287.158,288.518,293.193
8300,287.158,288.518,293.193
8400,287.111,288.518,293.191
8400,287.111,288.518,293.191
8400,287.111,288.518,293.191
8500,287.064,288.518,293.189
8500,287.064,288.518,293.189
8520,287.055,288.517,293.188
8600,287.017,288.517,293.187
8600,287.017,288.517,293.187
8640,286.999,288.517,293.186
8700,286.971,288.517,293.185
8700,286.971,288.517,293.185
8760,286.944,288.517,293.184
8800,286.925,288.517,293.183
8800,286.925,288.517,293.183
8880,286.889,288.516,293.181
8900,286.88,288.516,293.181
8900,286.88,288.516,293.181
9000,286.834,288.516,293.179
9000,286.834,288.516,293.179
9000,286.834,288.516,293.179
9100,286.789,288.516,293.177
9100,286.789,288.516,293.177
9120,286.78,288.516,293.177
9200,286.745,288.516,293.175
9200,286.745,288.516,293.175
9240,286.727,288.516,293.174
9300,286.7,288.516,293.173
9300,286.7,288.516,293.173
9360,286.674,288.515,293.172
9400,286.656,288.515,293.171
9400,286.656,288.515,293.171
9480,286.621,288.515,293.17
9500,286.612,288.515,293.169
9500,286.612,288.515,293.169
9600,286.569,288.515,293.167
9600,286.569,288.515,293.167
9600,286.569,288.515,293.167
9700,286.525,288.515,293.165
9700,286.525,288.515,293.165
9720,286.517,288.515,293.165
9800,286.482,288.515,293.163
9800,286.482,288.515,293.163
9840,286.465,288.515,293.162
9900,286.44,288.515,293.161
9900,286.44,288.515,293.161
9960,286.414,288.515,293.16
10000,286.397,288.515,293.159
10000,286.397,288.515,293.159
10080,286.363,288.514,293.157
10100,286.355,288.514,293.157
10100,286.355,288.514,293.157
10200,286.313,288.514,293.155
10200,286.313,288.514,293.155
10200,286.313,288.514,293.155
10300,286.272,288.514,293.153
10300,286.272,288.514,293.153
10320,286.263,288.514,293.153
10400,286.23,288.514,293.151
10400,286.23,288.514,293.151
10440,286.214,288.514,293.15
10500,286.189,288.514,293.149
10500,286.189,288.514,293.149
10560,286.165,288.514,293.148
10600,286.149,288.514,293.147
10600,286.149,288.514,293.147
10680,286.116,288.514,293.145
10700,286.108,288.514,293.145
10700,286.108,288.514,293.145
10800,286.068,288.514,293.143
10800,286.068,288.514,293.143
10800,286.068,288.514,293.143
10900,286.028,288.514,293.141
10900,286.028,288.514,293.141
10920,286.02,288.514,293.14
11000,285.989,288.514,293.139
11000,285.989,288.514,293.139
11040,285.973,288.514,293.138
11100,285.949,288.514,293.137
11100,285.949,288.514,293.137
11160,285.926,288.514,293.135
11200,285.911,288.514,293.135
11200,285.911,288.514,293.135
11280,285.88,288.514,293.133
11300,285.872,288.514,293.132
11300,285.872,288.514,293.132
11400,285.834,288.514,293.13
11400,285.834,288.514,293.13
11400,285.834,288.514,293.13
11500,285.796,288.514,293.128
11500,285.796,288.514,293.128
11520,285.788,288.514,293.128
11600,285.758,288.514,293.126
11600,285.758,288.514,293.126
11640,285.743,288.514,293.125
11700,285.72,288.514,293.124
11700,285.72,288.514,293.124
11760,285.698,288.514,293.123
11800,285.683,288.514,293.122
11800,285.683,288.514,293.122
11880,285.654,288.514,293.12
11900,285.646,288.514,293.12
11900,285.646,288.514,293.12
12000,285.61,288.515,293.118
12000,285.61,288.515,293.118
12000,285.61,288.515,293.118
12100,285.573,288.515,293.116
12100,285.573,288.515,293.116
12120,285.566,288.515,293.115
12200,285.537,288.515,293.114
12200,285.537,288.515,293.114
12240,285.523,288.515,293.113
12300,285.501,288.515,293.112
12300,285.501,288.515,293.112
12360,285.48,288.515,293.11
12400,285.466,288.515,293.11
12400,285.466,288.515,293.11
12480,285.437,288.515,293.108
12500,285.43,288.515,293.108
12500,285.43,288.515,293.108
12600,285.395,288.515,293.105
12600,285.395,288.515,293.105
12600,285.395,288.515,293.105
12700,285.361,288.515,293.103
12700,285.361,288.515,293.103
12720,285.354,288.515,293.103
12800,285.326,288.515,293.101
12800,285.326,288.515,293.101
12840,285.312,288.515,293.1
12900,285.292,288.516,293.099
12900,285.292,288.516,293.099
12960,285.271,288.516,293.098
13000,285.258,288.516,293.097
13000,285.258,288.516,293.097
13080,285.231,288.516,293.095
13100,285.224,288.516,293.095
13100,285.224,288.516,293.095
13200,285.191,288.516,293.093
13200,285.191,288.516,293.093
13200,285.191,288.516,293.093
13300,285.157,288.516,293.091
13300,285.157,288.516,293.091
13320,285.151,288.516,293.09
13400,285.124,288.516,293.089
13400,285.124,288.516,293.089
13440,285.111,288.516,293.088
13500,285.092,288.516,293.087
13500,285.092,288.516,293.087
13560,285.072,288.516,293.085
13600,285.059,288.516,293.085
13600,285.059,288.516,293.085
13680,285.033,288.517,293.083
13700,285.027,288.517,293.083
13700,285.027,288.517,293.083
13800,284.995,288.517,293.08
13800,284.995,288.517,293.08
13800,284.995,288.517,293.08
13900,284.963,288.517,293.078
13900,284.963,288.517,293.078
13920,284.957,288.517,293.078
14000,284.932,288.517,293.076
14000,284.932,288.517,293.076
14040,284.919,288.517,293.075
14100,284.9,288.517,293.074
14100,284.9,288.517,293.074
14160,284.882,288.517,293.073
14200,284.869,288.517,293.072
14200,284.869,288.517,293.072
14280,284.845,288.518,293.07
14300,284.839,288.518,293.07
14300,284.839,288.518,293.07
14400,284.808,288.518,293.068
14400,284.808,288.518,293.068
14400,284.808,288.518,293.068
14500,284.778,288.518,293.066
14500,284.778,288.518,293.066
14520,284.772,288.518,293.065
14600,284.748,288.518,293.064
14600,284.748,288.518,293.064
14640,284.736,288.518,293.063
14700,284.718,288.518,293.062
14700,284.718,288.518,293.062
14760,284.7,288.518,293.06
14800,284.688,288.518,293.06
14800,284.688,288.518,293.06
14880,284.665,288.519,293.058
14900,284.659,288.519,293.057
14900,284.659,288.519,293.057
15000,284.63,288.519,293.055
15000,284.63,288.519,293.055
15000,284.63,288.519,293.055
15100,284.601,288.519,293.053
15100,284.601,288.519,293.053
15120,284.595,288.519,293.053
15200,284.572,288.519,293.051
15200,284.572,288.519,293.051
15240,284.561,288.519,293.05
15300,284.544,288.519,293.049
15300,284.544,288.519,293.049
15360,284.527,288.52,293.048
15400,284.515,288.52,293.047
15400,284.515,288.52,293.047
15480,284.493,288.52,293.045
15500,284.487,288.52,293.045
15500,284.487,288.52,293.045
15600,284.46,288.52,293.043
15600,284.46,288.52,293.043
15600,284.46,288.52,293.043
15700,284.432,288.52,293.041
15700,284.432,288.52,293.041
15720,284.426,288.52,293.04
15800,284.405,288.52,293.039
15800,284.405,288.52,293.039
15840,284.394,288.52,293.038
15900,284.377,288.521,293.037
15900,284.377,288.521,293.037
15960,284.361,288.521,293.035
16000,284.35,288.521,293.035
16000,284.35,288.521,293.035
16080,284.329,288.521,293.033
16100,284.324,288.521,293.032
16100,284.324,288.521,293.032
16200,284.297,288.521,293.03
16200,284.297,288.521,293.03
16200,284.297,288.521,293.03
16300,284.271,288.521,293.028
16300,284.271,288.521,293.028
16320,284.266,288.521,293.028
16400,284.245,288.522,293.026
16400,284.245,288.522,293.026
16440,284.234,288.522,293.025
16500,284.219,288.522,293.024
16500,284.219,288.522,293.024
16560,284.203,288.522,293.023
16600,284.193,288.522,293.022
16600,284.193,288.522,293.022
16680,284.173,288.522,293.02
16700,284.168,288.522,293.02
16700,284.168,288.522,293.02
16800,284.142,288.522,293.018
16800,284.142,288.522,293.018
16800,284.142,288.522,293.018
16900,284.117,288.523,293.016
16900,284.117,288.523,293.016
16920,284.112,288.523,293.015
17000,284.092,288.523,293.014
17000,284.092,288.523,293.014
17040,284.082,288.523,293.013
17100,284.067,288.523,293.012
17100,284.067,288.523,293.012
17160,284.053,288.523,293.01
17200,284.043,288.523,293.01
17200,284.043,288.523,293.01
17280,284.023,288.523,293.008
17300,284.019,288.523,293.007
17300,284.019,288.523,293.007
17400,283.994,288.524,293.005
17400,283.994,288.524,293.005
17400,283.994,288.524,293.005
17500,283.97,288.524,293.003
17500,283.97,288.524,293.003
17520,283.966,288.524,293.003
17600,283.947,288.524,293.001
17600,283.947,288.524,293.001
17640,283.937,288.524,293
17700,283.923,288.524,292.999
17700,283.923,288.524,292.999
17760,283.909,288.524,292.998
17800,283.9,288.524,292.997
17800,283.9,288.524,292.997
17880,283.881,288.525,292.995
17900,283.876,288.525,292.995
17900,283.876,288.525,292.995
18000,283.853,288.525,292.993
18000,283.853,288.525,292.993
18000,283.853,288.525,292.993
18100,283.831,288.525,292.991
18100,283.831,288.525,292.991
18120,283.826,288.525,292.99
18200,283.808,288.525,292.989
18200,283.808,288.525,292.989
18240,283.799,288.525,292.988
18300,283.786,288.526,292.987
18300,283.786,288.526,292.987
18360,283.772,288.526,292.985
18400,283.763,288.526,292.985
18400,283.763,288.526,292.985
18480,283.746,288.526,292.983
18500,283.741,288.526,292.982
18500,283.741,288.526,292.982
18600,283.719,288.526,292.98
18600,283.719,288.526,292.98
18600,283.719,288.526,292.98
18700,283.698,288.526,292.978
18700,283.698,288.526,292.978
18720,283.693,288.526,292.978
18800,283.676,288.527,292.976
18800,283.676,288.527,292.976
18840,283.668,288.527,292.975
18900,283.655,288.527,292.974
18900,283.655,288.527,292.974
18960,283.642,288.527,292.973
19000,283.634,288.527,292.972
19000,283.634,288.527,292.972
19080,283.617,288.527,292.97
19100,283.613,288.527,292.97
19100,283.613,288.527,292.97
19200,283.592,288.527,292.968
19200,283.592,288.527,292.968
19200,283.592,288.527,292.968
19300,283.571,288.528,292.966
19300,283.571,288.528,292.966
19320,283.567,288.528,292.965
19400,283.551,288.528,292.964
19400,283.551,288.528,292.964
19440,283.543,288.528,292.963
19500,283.531,288.528,292.962
19500,283.531,288.528,292.962
19560,283.518,288.528,292.96
19600,283.51,288.528,292.96
19600,283.51,288.528,292.96
19680,283.494,288.528,292.958
19700,283.491,288.529,292.958
19700,283.491,288.529,292.958
19800,283.471,288.529,292.955
19800,283.471,288.529,292.955
19800,283.471,288.529,292.955
19900,283.451,288.529,292.953
19900,283.451,288.529,292.953
19920,283.447,288.529,292.953
20000,283.432,288.529,292.951
20000,283.432,288.529,292.951
20040,283.424,288.529,292.95
20100,283.413,288.529,292.949
20100,283.413,288.529,292.949
20160,283.401,288.53,292.948
20200,283.393,288.53,292.947
20200,283.393,288.53,292.947
20280,283.378,288.53,292.945
20300,283.375,288.53,292.945
20300,283.375,288.53,292.945
20400,283.356,288.53,292.943
20400,283.356,288.53,292.943
20400,283.356,288.53,292.943
20500,283.337,288.53,292.941
20500,283.337,288.53,292.941
20520,283.334,288.53,292.94
20600,283.319,288.53,292.939
20600,283.319,288.53,292.939
20640,283.312,288.531,292.938
20700,283.301,288.531,292.937
20700,283.301,288.531,292.937
20760,283.29,288.531,292.936
20800,283.283,288.531,292.935
20800,283.283,288.531,292.935
20880,283.268,288.531,292.933
20900,283.265,288.531,292.933
20900,283.265,288.531,292.933
21000,283.247,288.531,292.931
21000,283.247,288.531,292.931
21000,283.247,288.531,292.931
21100,283.229,288.532,292.928
